label,id,tweet
O,1389844045300523012,"@Tejasvi_Surya @balamy @NandanNilekani Same type of fraud might be going on in Delhi regarding bed, medicine scarcity of oxygen. BJP Delhi should take initiative in this regard to help people in this crisis. Time to play active role to help the govt and people of Delhi. @BJP4India @BJPdelhi0908 @HMOIndia"
O,1389435669915652098,several patients in the state have already died due to a critical shortage of oxygen supply in hospitals but the State and Central government are still busy passing the blame onto each other. how many more deaths to witness and how long it will take for this to end. 😐
N,1388391072720572421,@KunalSarangi @DC_Ranchi @BannaGupta76  Plasma has been arranged. Donor going through an antibody test right now. Still looking for a bed in a hospital where dialysis can be done. Normal creatinine level is less than 2. Patient has reached 7.
O,1388549118805434368,"2 #COVID19 patients died in KBN Hospital #Kalaburagi due to shortage of #Oxygen.Hospital authorities say DC Raichur suddenly stopped oxygen supply to KBN hospital since Thursday ,which led to the shortage. Now 50 cylinders have been sent to hospital @mla_sudhakar  @PriyankKharge  https://t.co/Ja3iK4T6u0"
N,1389228957174697993,"@Tejasvi_Surya  Patient Name : Manas Ranjan Kar Symptoms: breathing problem, CT score -20/25 Since : Past 5 day Searching  hospital 2nd May  Mobile # 9482576796 SRFID: 2952511346803 BU-68858 #A 208, VS Chalet, 135/1A C , L.B. Shastry Nagar, 7th cross, HAL Post, 560017 pls help"
N,1389628420913438722,"Searching for bed and oxygen both in gurugram Or close to gurugram  Name:Giriraj Lakhotia Age :36 Sector -71 , Gurugram Is patient in oxygen-No Searching for beds-Yes Covid positive- yes Attendee Mobile No. :9899166512 Relation to the patient-Brother Place-Gurugram"
N,1389142583373275138,"Looking for a bed in Bangalore. Patient's Oxygen level was at 90 half an hour ago. Name: Sarojini Devi Age: 83 Address: Raheja Residency, Koramangala. Pls amplify. Even non-ICU bed works because patient is currently stable."
O,1388824694955069440,"Chalo chalo khela khatam, ab chup chaap vaccine aur oxygen bhejo. :)"
G,1389114837427318788,Anyone who needs #Remdisivir in #Patnacovid please contact MR Amith(Sadar hospital manager) his contact number is 7004017676. ( verified today)
N,1388381960590925829,Friends cousin admitted in Trustwell Hospital in Bangalore due to Covid. Just now he has been shifted to ICU due to infection spreading in lungs. Doctors said he is critical and need plasma of any group and they will exchange. Donor should be recovered from Covid positive after
O,1388881867634397186,"@radnus0 @maathinamalla Both are extracted from air. The principle is the same. No rocket science here. When you want Oxygen, just let out Nitrogen and vice versa. The real challenge is not production, but after that."
G,1388750688126062592,"@NZinIndia Do you have some cases in your Embassy ? For which you need Oxygen , pl clarify ."
O,1388863197881327621,"@nagendrakumars @fayedsouza That's a 'responsive' responsible govt. @narendramodi. Now go for the vaccines...  Next, bring the errant states and hospitals that refused to act on the order to setup oxygen plants to book. Public needs to know. Nation needs to know ! @republic"
