label,id,tweet
O,1388316853668257793,@the_hindu @ikasnik Does I mean hospitals are not overwhelmed in Delhi? Or does it mean politicians first is the policy.
O,1388316853668257793,@the_hindu @ikasnik Does I mean hospitals are not overwhelmed in Delhi? Or does it mean politicians first is the policy.
O,1389256759475195909,"BBMP has set up a committee to study the Central Hospital Management System and recommend measures to allot beds in a transparent and non-arbitrary manner. The committee comprises V Ponnuraj, IAS, and two IFS officers Kumar Pushkar and Vipin Singh. @BBMPCOMM  https://t.co/i1WhSRNrA8"
O,1389445485627273218,@AshwiniMS_TNIE  https://t.co/wn3uVjtV2H @BengaluruHeal  #Karnataka Govt call centre (10 lines) for oxygen supply &amp; Remdesivir (24x7)  +918951755722 this call centre number has been set up today. Kindly Keep it handy it may be useful to save lives !
G,1389741784352182276,@JeevanDev7 Bangalore #Verified #Beds with #Oxygen are available in 1. Sapthagiri #hospital 2. East point hospital (9448533925) 3. Sri lakshmi multi speciality hospital Chandana layout 080 - 23588311 #ICU BEDS are available in: Akash Hospital (9448185671)
N,1389827416764260359,@AshwiniMS_TNIE O +ve Plasma required*  Patient Name: Syed Sareem(29) Hospital Sri Sai Ram Hospital Hulimavu patient on oxygen cylinder: Yes  7.covid test done :+ve attender mobile: 9880228910 Ayesha  11. SRF id no: 29525117372730 12. BU number : 795041 Pls.pls help!
O,1389121067373842436,St. Philomena's Hospital in Bangalore needs support.  A few of us from the IIMB community are doing this.  Please do contribute and share.  Thanks!   https://t.co/vNX98JDDdq
O,1388389484400504832,"SonderConnect and Milaap are working directly with hospitals that are personally vetted by us to raise funds for Ventilators, Oxygen Concentrators etc. Our hospitals are in dire need of your support so please donate now:  https://t.co/1Okz43x4gN  https://t.co/mokN16qwMz"
O,1388527214421970945,"@DKShivakumar Can we fit oxygen cylinders in autos, cylinder on move, book through Ola and Uber"
O,1388740564137304070,@kumble_kavita @TajinderBagga @KapilMishra_IND @SandeepMall He needs hospital supervision they have there own Oxygen cylinder @sandyarora02
O,1388827425723801602,"@ipsvijrk, @DelhiPolice hi sir/team... just bringing this to your notice that the following number +916289176093 is a fraud for taking money up front for oxygen and not delivering. Please make sure this is tracked and traced.. @sosiyc , @rockyandmayur .. just to amplify  https://t.co/WATn52dG6z"
O,1389382811967123456,Please help... @BSYBJP @BBMPCOMM @mla_sudhakar #COVIDEmergency #Oxygen #OxygenCrisis #OxygenEmergency #OxygenShortage #OxygenSOS #Bangalore #bangalorecovid #BangaloreSOS
O,1388762385687617537,Top 30 cities by now should all have had temporary covid hospitals by now.  Not MLAs power-tripping on signing letters deciding who should get into a hospital and who shouldn't (given current limited capacity)
O,1388476783096254471,"@ndtv You can do a great favour by showing a dashboard of all hospitals across the country on availability on Beds, vacancine and medicines."
O,1389860823170908162,@mla_sudhakar @BSYBJP Ri swamy sachivarigintha Oxygen mukya.. yake indu numma rajayadalli Oxygen korthe idhe.. yake enna central government indha..Oxygen bundilla
O,1388420646699294722,"U r right not only this lone person, there r many with same mentality just to make avail oxygen beds medicine is not enough"
O,1389159695718305794,"@sandipsabharwal @amitrajsingh100 Need to change filter. For vehicle tyres, nitrogen is used. Changing filter &amp; other suitable alteration, even puncture shops can produce oxygen instead of nitrogen"
O,1389173324102529024,"@SuPriyoBabul @ShashiTharoor @BJP4India @BJP4Bengal @JPNadda @AmitShah @narendramodi u all would not able to protect karyakarta n ground level in coming days &amp; predict that next 2026 election 0 seats will b n opposition party,38 % voters go 4 job medicine oxygen/flee @jdhankhar1 @rashtrapatibhvn protect us🙏"
O,1389921178874114050,@Joydas @brumbyoz He even inaugurated a Hospital... Oh wait that wasn't for cows right ?
O,1388353813308862469,"@Ammy1854 Mahaveer Hospital, Mohan Garden"
G,1388316447122751488,"This has numbers of oxygen, remdesivir , ambulance, foos services help with hospital beds &amp; more  Courtesy @prajwalmanipal   https://t.co/BwUv0Qyw6c"
