label,id,tweet
O,1388357078268276736,"And what was that when in western world people were sent back from hospitals, people were dyingn on roads,  getting creamated in mass graves. Stop villifying the effort of Indian govt to tackle the pandemic..."
O,1388357078268276736,"And what was that when in western world people were sent back from hospitals, people were dyingn on roads,  getting creamated in mass graves. Stop villifying the effort of Indian govt to tackle the pandemic..."
O,1388805340876083204,ಆಕ್ಸಿಜನ್​​ಗಾಗಿ ರೋಗಿಗಳೊಂದಿಗೆ ಅರಳಿ ಮರದ ಕೆಳಗೆ ಕ್ಯಾಂಪ್ ಹಾಕಿದ ಕುಟುಂಬಸ್ಥರು   https://t.co/8B726o6lyL  #newsfirstlive #Covid19 #PeepalTree #OxygenCrisis #Oxygen #CoronaPandemic
O,1388357784027090947,https://t.co/jteXUKmQBD  Covid homecare package in Bangalore- @ManipalHealth hospital   #COVID19 #Bangalore
N,1388387381712019457,"@Bhartiya_Kopite Batchmate passed away. At least 10 people called up for oxygen, Remdisivir etc. 6 new cases in my building."
O,1389185446714822657,@shishir_heg @Tejasvi_Surya @Offtejasvisurya Hospital is non cooperative and is not giving correct information
G,1388410099748642817,@BhumikaSehra @srinivasiyc Update : Total 7 ICU beds are available in JSS Hospital Mysore to treat #COVID19   Contact : 08212335555
N,1389984322262818816,"@Showbiz_IT JaiGuruDev! Sonu Sir,Oxygen is required at Rajanandini hospital at Konankunte for Mahadev patient.kindly help to arrange.Grateful...Wife Pavitra 9739717516,attendant Manjula 7338321772 ,6363197679.BU number :718115 BU"
O,1388794960653078532,Mumbai's Shahnawaz Sheikh Is Called The 'oxygen Man'...!  Video Link ►  https://t.co/CfIPSeR4dz  ಆಮ್ಲಜನಕ ಸಿಲಿಂಡರ್ ಒದಗಿಸಲು ಶೇಖ್ ತಮ್ಮ ದುಬಾರಿ SUV ಕಾರನ್ನೆ ಮಾರಿದ್ದಾರೆ...!  #TV9Kannada #OxygenMan #CostlySUV #SocialMediaViral #Mumbai #MaladResident #ShahnawazSheikh  https://t.co/YSHoj8CNbf
O,1388459157364248587,"A video, Which says ""A Fraud is committed by Reliance industry by applying its stickers on Saudi Arabian Oxygen tanker"" This Video is making rounds in social media and even in some Press Media.plz take action if its Fake @ril_foundation @AmbaniTina @_MukeshAmbani  https://t.co/OqTLqGimX9"
O,1389941803411861506,@sharshame @BBMPCOMM there are no beds!   past week has been 20k+ patients per day. 5% of that amount need hospital care.   has 5000+ oxygen beds been added to the capacity?   no. :(   where are the 1000 beds army hospital @PCMohanMP? 🙏
O,1389620320919703552,@girishalva Politician more belives in Govt babus bcoz they think Babu's are smart enough to manage the situation...These babu's knows how to convert crisis into oppertunity to make money...that is how be bed/Injection/oxygen mgmt everything has been screwed up completely across India
O,1388765081534562311,"Later I came to know that with oxygen support its 87, without ,it's 82. The 108 ppl called me back to say that for the current reading the patient required an ICU bed which was not avlb. Somehow got an ICU bed and hope he recovers. He has a kid who is in 6th."
O,1388426027848851456,"Much needed information for hospitalization, finding hospitals in Bangalore - sources to find contacts for beds, check the status of availability -  Everything here!  https://t.co/jY1BGxwltG"
N,1388471846908043264,Virendra Bajaj  Age - 78  SPO2 - 82 Diabetic  Need ICU bed urgently Kailash hospital or any other..pls help. Patient on the edge 9811014792 Rajesh pahwa Delhi
